   Elapsed time	   MLII	     V5
       0:00.161	 -0.300	 -0.160
       0:00.164	 -0.315	 -0.195
       0:00.167	 -0.320	 -0.200
       0:00.169	 -0.335	 -0.205
       0:00.172	 -0.360	 -0.225
       0:00.175	 -0.385	 -0.255
       0:00.178	 -0.385	 -0.300
       0:00.181	 -0.405	 -0.290
       0:00.183	 -0.455	 -0.235
       0:00.186	 -0.485	 -0.130
       0:00.189	 -0.485	 -0.035
       0:00.192	 -0.425	  0.050
       0:00.194	 -0.330	  0.120
       0:00.197	 -0.220	  0.200
       0:00.200	 -0.070	  0.310
       0:00.203	  0.120	  0.435
       0:00.206	  0.375	  0.535
       0:00.208	  0.620	  0.580
       0:00.211	  0.780	  0.475
       0:00.214	  0.840	  0.210
       0:00.217	  0.765	 -0.085
       0:00.219	  0.520	 -0.230
       0:00.222	  0.170	 -0.250
       0:00.225	 -0.165	 -0.215
       0:00.228	 -0.365	 -0.180
       0:00.231	 -0.435	 -0.185
       0:00.233	 -0.425	 -0.160
       0:00.236	 -0.370	 -0.150
       0:00.239	 -0.330	 -0.150
       0:00.242	 -0.325	 -0.180
       0:00.244	 -0.335	 -0.180
       0:00.247	 -0.345	 -0.160
       0:00.250	 -0.330	 -0.165
       0:00.253	 -0.325	 -0.170
       0:00.256	 -0.315	 -0.165
       0:00.258	 -0.310	 -0.185
       0:00.261	 -0.320	 -0.185
       0:00.264	 -0.335	 -0.185
       0:00.267	 -0.340	 -0.170
       0:00.269	 -0.325	 -0.160
       0:00.272	 -0.345	 -0.155
       0:00.275	 -0.335	 -0.175
       0:00.278	 -0.330	 -0.195
       0:00.281	 -0.335	 -0.185
       0:00.283	 -0.330	 -0.185
       0:00.286	 -0.325	 -0.175
       0:00.289	 -0.330	 -0.175
       0:00.292	 -0.330	 -0.195
       0:00.294	 -0.345	 -0.190
       0:00.297	 -0.355	 -0.180
       0:00.300	 -0.335	 -0.165
       0:00.303	 -0.325	 -0.170
       0:00.306	 -0.305	 -0.170
       0:00.308	 -0.320	 -0.170
       0:00.311	 -0.320	 -0.190
       0:00.314	 -0.330	 -0.185
       0:00.317	 -0.340	 -0.180
       0:00.319	 -0.335	 -0.170
       0:00.322	 -0.340	 -0.175
       0:00.325	 -0.345	 -0.190
       0:00.328	 -0.355	 -0.200
       0:00.331	 -0.355	 -0.195
       0:00.333	 -0.340	 -0.185
       0:00.336	 -0.330	 -0.170
       0:00.339	 -0.330	 -0.170
       0:00.342	 -0.330	 -0.185
       0:00.344	 -0.340	 -0.195
       0:00.347	 -0.350	 -0.175
       0:00.350	 -0.325	 -0.200
       0:00.353	 -0.325	 -0.185
       0:00.356	 -0.330	 -0.180
       0:00.358	 -0.330	 -0.185
       0:00.361	 -0.335	 -0.205
       0:00.364	 -0.335	 -0.190
       0:00.367	 -0.340	 -0.180
       0:00.369	 -0.330	 -0.185
       0:00.372	 -0.340	 -0.200
       0:00.375	 -0.350	 -0.215
       0:00.378	 -0.355	 -0.205
       0:00.381	 -0.350	 -0.210
       0:00.383	 -0.345	 -0.200
       0:00.386	 -0.330	 -0.185
       0:00.389	 -0.320	 -0.205
       0:00.392	 -0.335	 -0.200
       0:00.394	 -0.330	 -0.210
       0:00.397	 -0.345	 -0.205
       0:00.400	 -0.330	 -0.185
       0:00.403	 -0.335	 -0.185
       0:00.406	 -0.335	 -0.200
       0:00.408	 -0.345	 -0.215
       0:00.411	 -0.345	 -0.225
       0:00.414	 -0.355	 -0.220
       0:00.417	 -0.340	 -0.200
       0:00.419	 -0.340	 -0.200
       0:00.422	 -0.335	 -0.215
       0:00.425	 -0.330	 -0.225
       0:00.428	 -0.350	 -0.235
       0:00.431	 -0.350	 -0.245
       0:00.433	 -0.345	 -0.240
       0:00.436	 -0.335	 -0.240
       0:00.439	 -0.335	 -0.240
       0:00.442	 -0.335	 -0.245
       0:00.444	 -0.350	 -0.260
       0:00.447	 -0.355	 -0.260
       0:00.450	 -0.355	 -0.265
       0:00.453	 -0.345	 -0.265
       0:00.456	 -0.345	 -0.280
       0:00.458	 -0.335	 -0.285
       0:00.461	 -0.350	 -0.295
       0:00.464	 -0.360	 -0.295
       0:00.467	 -0.360	 -0.300
       0:00.469	 -0.360	 -0.290
       0:00.472	 -0.365	 -0.300
       0:00.475	 -0.360	 -0.315
       0:00.478	 -0.370	 -0.315
       0:00.481	 -0.385	 -0.315
       0:00.483	 -0.370	 -0.315
       0:00.486	 -0.360	 -0.310
       0:00.489	 -0.355	 -0.310
       0:00.492	 -0.360	 -0.325
       0:00.494	 -0.375	 -0.330
       0:00.497	 -0.375	 -0.325
       0:00.500	 -0.365	 -0.315
       0:00.503	 -0.365	 -0.305
       0:00.506	 -0.360	 -0.305
       0:00.508	 -0.360	 -0.290
       0:00.511	 -0.365	 -0.290
       0:00.514	 -0.370	 -0.275
       0:00.517	 -0.355	 -0.270
       0:00.519	 -0.330	 -0.245
       0:00.522	 -0.325	 -0.240
       0:00.525	 -0.325	 -0.250
       0:00.528	 -0.335	 -0.250
       0:00.531	 -0.340	 -0.235
       0:00.533	 -0.315	 -0.220
       0:00.536	 -0.300	 -0.195
       0:00.539	 -0.300	 -0.190
       0:00.542	 -0.290	 -0.190
       0:00.544	 -0.295	 -0.190
       0:00.547	 -0.290	 -0.180
       0:00.550	 -0.285	 -0.160
       0:00.553	 -0.275	 -0.145
       0:00.556	 -0.255	 -0.150
       0:00.558	 -0.250	 -0.160
       0:00.561	 -0.250	 -0.160
       0:00.564	 -0.265	 -0.155
       0:00.567	 -0.255	 -0.145
       0:00.569	 -0.245	 -0.140
       0:00.572	 -0.230	 -0.160
       0:00.575	 -0.245	 -0.150
       0:00.578	 -0.245	 -0.175
       0:00.581	 -0.255	 -0.170
       0:00.583	 -0.255	 -0.160
       0:00.586	 -0.240	 -0.160
       0:00.589	 -0.250	 -0.150
       0:00.592	 -0.255	 -0.155
       0:00.594	 -0.245	 -0.160
       0:00.597	 -0.255	 -0.170
       0:00.600	 -0.250	 -0.155
       0:00.603	 -0.250	 -0.155
       0:00.606	 -0.265	 -0.150
       0:00.608	 -0.260	 -0.165
       0:00.611	 -0.260	 -0.175
       0:00.614	 -0.265	 -0.165
       0:00.617	 -0.270	 -0.165
       0:00.619	 -0.265	 -0.160
       0:00.622	 -0.260	 -0.160
       0:00.625	 -0.275	 -0.180
       0:00.628	 -0.280	 -0.175
       0:00.631	 -0.290	 -0.185
       0:00.633	 -0.275	 -0.165
       0:00.636	 -0.270	 -0.150
       0:00.639	 -0.260	 -0.150
       0:00.642	 -0.280	 -0.170
       0:00.644	 -0.280	 -0.185
       0:00.647	 -0.285	 -0.195
       0:00.650	 -0.275	 -0.190
       0:00.653	 -0.275	 -0.190
       0:00.656	 -0.265	 -0.185
       0:00.658	 -0.270	 -0.190
       0:00.661	 -0.285	 -0.210
       0:00.664	 -0.290	 -0.195
       0:00.667	 -0.280	 -0.190
       0:00.669	 -0.275	 -0.180
       0:00.672	 -0.285	 -0.205
       0:00.675	 -0.280	 -0.215
       0:00.678	 -0.300	 -0.225
       0:00.681	 -0.300	 -0.210
       0:00.683	 -0.305	 -0.205
       0:00.686	 -0.295	 -0.195
       0:00.689	 -0.300	 -0.200
       0:00.692	 -0.310	 -0.195
       0:00.694	 -0.310	 -0.210
       0:00.697	 -0.305	 -0.215
       0:00.700	 -0.295	 -0.205
       0:00.703	 -0.285	 -0.185
       0:00.706	 -0.285	 -0.195
       0:00.708	 -0.290	 -0.195
       0:00.711	 -0.295	 -0.220
       0:00.714	 -0.310	 -0.220
       0:00.717	 -0.290	 -0.210
       0:00.719	 -0.295	 -0.215
       0:00.722	 -0.300	 -0.220
       0:00.725	 -0.305	 -0.220
       0:00.728	 -0.310	 -0.225
       0:00.731	 -0.325	 -0.210
       0:00.733	 -0.310	 -0.200
       0:00.736	 -0.300	 -0.210
       0:00.739	 -0.290	 -0.225
       0:00.742	 -0.310	 -0.230
       0:00.744	 -0.325	 -0.225
       0:00.747	 -0.330	 -0.220
       0:00.750	 -0.315	 -0.230
       0:00.753	 -0.300	 -0.210
       0:00.756	 -0.305	 -0.215
       0:00.758	 -0.310	 -0.215
       0:00.761	 -0.320	 -0.230
       0:00.764	 -0.330	 -0.215
       0:00.767	 -0.325	 -0.220
       0:00.769	 -0.315	 -0.205
       0:00.772	 -0.310	 -0.205
       0:00.775	 -0.305	 -0.210
       0:00.778	 -0.305	 -0.215
       0:00.781	 -0.310	 -0.225
       0:00.783	 -0.300	 -0.215
       0:00.786	 -0.305	 -0.215
       0:00.789	 -0.290	 -0.215
       0:00.792	 -0.300	 -0.225
       0:00.794	 -0.300	 -0.225
       0:00.797	 -0.305	 -0.225
       0:00.800	 -0.305	 -0.205
       0:00.803	 -0.290	 -0.195
       0:00.806	 -0.280	 -0.210
       0:00.808	 -0.295	 -0.210
       0:00.811	 -0.305	 -0.215
       0:00.814	 -0.315	 -0.235
       0:00.817	 -0.305	 -0.230
       0:00.819	 -0.295	 -0.220
       0:00.822	 -0.290	 -0.220
       0:00.825	 -0.280	 -0.230
       0:00.828	 -0.270	 -0.225
       0:00.831	 -0.275	 -0.230
       0:00.833	 -0.275	 -0.215
       0:00.836	 -0.270	 -0.195
       0:00.839	 -0.250	 -0.195
       0:00.842	 -0.250	 -0.190
       0:00.844	 -0.255	 -0.200
       0:00.847	 -0.225	 -0.195
       0:00.850	 -0.220	 -0.180
       0:00.853	 -0.205	 -0.170
       0:00.856	 -0.200	 -0.180
       0:00.858	 -0.205	 -0.175
       0:00.861	 -0.215	 -0.195
       0:00.864	 -0.230	 -0.195
       0:00.867	 -0.220	 -0.170
       0:00.869	 -0.225	 -0.175
       0:00.872	 -0.225	 -0.175
       0:00.875	 -0.225	 -0.180
       0:00.878	 -0.230	 -0.185
       0:00.881	 -0.235	 -0.185
       0:00.883	 -0.240	 -0.175
       0:00.886	 -0.235	 -0.175
       0:00.889	 -0.220	 -0.175
       0:00.892	 -0.210	 -0.190
       0:00.894	 -0.205	 -0.205
       0:00.897	 -0.245	 -0.200
       0:00.900	 -0.285	 -0.205
       0:00.903	 -0.285	 -0.205
       0:00.906	 -0.300	 -0.215
       0:00.908	 -0.310	 -0.215
       0:00.911	 -0.330	 -0.225
       0:00.914	 -0.330	 -0.215
       0:00.917	 -0.325	 -0.210
       0:00.919	 -0.315	 -0.200
       0:00.922	 -0.320	 -0.215
       0:00.925	 -0.315	 -0.225
       0:00.928	 -0.325	 -0.245
       0:00.931	 -0.340	 -0.245
       0:00.933	 -0.345	 -0.250
       0:00.936	 -0.340	 -0.225
       0:00.939	 -0.340	 -0.230
       0:00.942	 -0.350	 -0.235
       0:00.944	 -0.345	 -0.240
       0:00.947	 -0.355	 -0.235
       0:00.950	 -0.330	 -0.235
       0:00.953	 -0.335	 -0.220
       0:00.956	 -0.330	 -0.230
       0:00.958	 -0.320	 -0.240
       0:00.961	 -0.345	 -0.240
       0:00.964	 -0.355	 -0.245
       0:00.967	 -0.340	 -0.225
       0:00.969	 -0.330	 -0.225
       0:00.972	 -0.325	 -0.235
       0:00.975	 -0.330	 -0.250
       0:00.978	 -0.350	 -0.270
       0:00.981	 -0.365	 -0.280
       0:00.983	 -0.360	 -0.290
       0:00.986	 -0.380	 -0.300
       0:00.989	 -0.425	 -0.330
       0:00.992	 -0.445	 -0.360
       0:00.994	 -0.475	 -0.355
       0:00.997	 -0.510	 -0.305
       0:01.000	 -0.535	 -0.205
       0:01.003	 -0.505	 -0.080
       0:01.006	 -0.415	  0.015
       0:01.008	 -0.300	  0.065
       0:01.011	 -0.160	  0.115
       0:01.014	 -0.015	  0.190
       0:01.017	  0.235	  0.300
       0:01.019	  0.490	  0.410
       0:01.022	  0.720	  0.495
       0:01.025	  0.875	  0.485
       0:01.028	  0.940	  0.360
       0:01.031	  0.905	  0.105
       0:01.033	  0.755	 -0.165
       0:01.036	  0.490	 -0.350
       0:01.039	  0.165	 -0.450
       0:01.042	 -0.110	 -0.470
       0:01.044	 -0.270	 -0.450
       0:01.047	 -0.390	 -0.395
       0:01.050	 -0.450	 -0.345
       0:01.053	 -0.475	 -0.310
       0:01.056	 -0.455	 -0.295
       0:01.058	 -0.425	 -0.285
       0:01.061	 -0.390	 -0.295
       0:01.064	 -0.390	 -0.295
       0:01.067	 -0.385	 -0.280
       0:01.069	 -0.390	 -0.285
       0:01.072	 -0.380	 -0.285
       0:01.075	 -0.380	 -0.285
       0:01.078	 -0.380	 -0.290
       0:01.081	 -0.395	 -0.275
       0:01.083	 -0.385	 -0.275
       0:01.086	 -0.385	 -0.275
       0:01.089	 -0.385	 -0.270
       0:01.092	 -0.375	 -0.285
       0:01.094	 -0.395	 -0.295
       0:01.097	 -0.410	 -0.290
       0:01.100	 -0.410	 -0.275
       0:01.103	 -0.400	 -0.265
       0:01.106	 -0.395	 -0.265
       0:01.108	 -0.390	 -0.275
       0:01.111	 -0.405	 -0.295
       0:01.114	 -0.395	 -0.290
       0:01.117	 -0.385	 -0.285
       0:01.119	 -0.375	 -0.270
       0:01.122	 -0.390	 -0.265
       0:01.125	 -0.390	 -0.275
       0:01.128	 -0.405	 -0.280
       0:01.131	 -0.410	 -0.280
       0:01.133	 -0.410	 -0.270
       0:01.136	 -0.390	 -0.265
       0:01.139	 -0.390	 -0.270
       0:01.142	 -0.395	 -0.270
       0:01.144	 -0.405	 -0.280
       0:01.147	 -0.415	 -0.270
       0:01.150	 -0.400	 -0.265
       0:01.153	 -0.410	 -0.265
       0:01.156	 -0.405	 -0.265
       0:01.158	 -0.410	 -0.270
       0:01.161	 -0.415	 -0.285
       0:01.164	 -0.410	 -0.285
       0:01.167	 -0.400	 -0.265
       0:01.169	 -0.400	 -0.265
       0:01.172	 -0.395	 -0.255
       0:01.175	 -0.390	 -0.275
       0:01.178	 -0.405	 -0.275
       0:01.181	 -0.410	 -0.280
       0:01.183	 -0.390	 -0.270
       0:01.186	 -0.390	 -0.265
       0:01.189	 -0.385	 -0.275
       0:01.192	 -0.385	 -0.285
       0:01.194	 -0.410	 -0.280
       0:01.197	 -0.405	 -0.280
       0:01.200	 -0.395	 -0.275
       0:01.203	 -0.390	 -0.275
       0:01.206	 -0.375	 -0.275
       0:01.208	 -0.390	 -0.285
       0:01.211	 -0.395	 -0.295
       0:01.214	 -0.410	 -0.295
       0:01.217	 -0.400	 -0.275
       0:01.219	 -0.390	 -0.275
       0:01.222	 -0.390	 -0.285
       0:01.225	 -0.385	 -0.290
       0:01.228	 -0.405	 -0.315
       0:01.231	 -0.415	 -0.315
       0:01.233	 -0.415	 -0.305
       0:01.236	 -0.400	 -0.290
       0:01.239	 -0.395	 -0.310
       0:01.242	 -0.405	 -0.320
       0:01.244	 -0.415	 -0.320
       0:01.247	 -0.420	 -0.335
       0:01.250	 -0.420	 -0.330
       0:01.253	 -0.410	 -0.325
       0:01.256	 -0.415	 -0.345
       0:01.258	 -0.425	 -0.350
       0:01.261	 -0.420	 -0.365
       0:01.264	 -0.435	 -0.370
       0:01.267	 -0.430	 -0.355
       0:01.269	 -0.430	 -0.360
       0:01.272	 -0.420	 -0.370
       0:01.275	 -0.430	 -0.390
       0:01.278	 -0.450	 -0.395
       0:01.281	 -0.455	 -0.400
       0:01.283	 -0.450	 -0.390
       0:01.286	 -0.435	 -0.385
       0:01.289	 -0.445	 -0.390
       0:01.292	 -0.450	 -0.400
       0:01.294	 -0.455	 -0.410
       0:01.297	 -0.470	 -0.420
       0:01.300	 -0.460	 -0.405
       0:01.303	 -0.455	 -0.410
       0:01.306	 -0.450	 -0.410
       0:01.308	 -0.455	 -0.400
       0:01.311	 -0.470	 -0.405
       0:01.314	 -0.475	 -0.390
       0:01.317	 -0.460	 -0.385
       0:01.319	 -0.450	 -0.365
       0:01.322	 -0.445	 -0.355
       0:01.325	 -0.440	 -0.345
       0:01.328	 -0.435	 -0.355
       0:01.331	 -0.440	 -0.330
       0:01.333	 -0.410	 -0.295
       0:01.336	 -0.395	 -0.275
       0:01.339	 -0.370	 -0.270
       0:01.342	 -0.365	 -0.260
       0:01.344	 -0.360	 -0.265
       0:01.347	 -0.365	 -0.265
       0:01.350	 -0.340	 -0.245
       0:01.353	 -0.325	 -0.225
       0:01.356	 -0.315	 -0.210
       0:01.358	 -0.320	 -0.215
       0:01.361	 -0.330	 -0.215
       0:01.364	 -0.330	 -0.205
       0:01.367	 -0.320	 -0.195
       0:01.369	 -0.310	 -0.185
       0:01.372	 -0.300	 -0.185
       0:01.375	 -0.300	 -0.195
       0:01.378	 -0.320	 -0.195
       0:01.381	 -0.320	 -0.195
       0:01.383	 -0.315	 -0.185
       0:01.386	 -0.305	 -0.170
       0:01.389	 -0.305	 -0.185
       0:01.392	 -0.295	 -0.195
       0:01.394	 -0.320	 -0.195
       0:01.397	 -0.330	 -0.195
       0:01.400	 -0.305	 -0.185
       0:01.403	 -0.310	 -0.175
       0:01.406	 -0.300	 -0.175
       0:01.408	 -0.300	 -0.185
       0:01.411	 -0.320	 -0.195
       0:01.414	 -0.325	 -0.195
       0:01.417	 -0.310	 -0.195
       0:01.419	 -0.305	 -0.180
       0:01.422	 -0.315	 -0.185
       0:01.425	 -0.305	 -0.190
       0:01.428	 -0.315	 -0.195
       0:01.431	 -0.315	 -0.195
       0:01.433	 -0.310	 -0.190
       0:01.436	 -0.295	 -0.185
       0:01.439	 -0.290	 -0.185
       0:01.442	 -0.305	 -0.190
       0:01.444	 -0.310	 -0.200
       0:01.447	 -0.320	 -0.215
       0:01.450	 -0.315	 -0.195
       0:01.453	 -0.300	 -0.185
       0:01.456	 -0.315	 -0.185
       0:01.458	 -0.315	 -0.185
       0:01.461	 -0.315	 -0.200
       0:01.464	 -0.330	 -0.205
       0:01.467	 -0.315	 -0.190
       0:01.469	 -0.320	 -0.190
       0:01.472	 -0.315	 -0.200
       0:01.475	 -0.325	 -0.200
       0:01.478	 -0.335	 -0.195
       0:01.481	 -0.340	 -0.220
       0:01.483	 -0.335	 -0.205
       0:01.486	 -0.335	 -0.190
       0:01.489	 -0.330	 -0.200
       0:01.492	 -0.325	 -0.220
       0:01.494	 -0.345	 -0.230
       0:01.497	 -0.350	 -0.210
       0:01.500	 -0.345	 -0.205
       0:01.503	 -0.335	 -0.200
       0:01.506	 -0.330	 -0.195
       0:01.508	 -0.330	 -0.220
       0:01.511	 -0.345	 -0.225
       0:01.514	 -0.345	 -0.225
       0:01.517	 -0.345	 -0.215
       0:01.519	 -0.320	 -0.205
       0:01.522	 -0.330	 -0.205
       0:01.525	 -0.335	 -0.215
       0:01.528	 -0.340	 -0.225
       0:01.531	 -0.355	 -0.220
       0:01.533	 -0.335	 -0.225
       0:01.536	 -0.330	 -0.195
       0:01.539	 -0.330	 -0.215
       0:01.542	 -0.335	 -0.220
       0:01.544	 -0.355	 -0.215
       0:01.547	 -0.360	 -0.225
       0:01.550	 -0.355	 -0.215
       0:01.553	 -0.350	 -0.210
       0:01.556	 -0.340	 -0.210
       0:01.558	 -0.345	 -0.225
       0:01.561	 -0.345	 -0.230
       0:01.564	 -0.345	 -0.220
       0:01.567	 -0.345	 -0.210
       0:01.569	 -0.330	 -0.205
       0:01.572	 -0.330	 -0.200
       0:01.575	 -0.335	 -0.205
       0:01.578	 -0.345	 -0.220
       0:01.581	 -0.350	 -0.230
       0:01.583	 -0.350	 -0.215
       0:01.586	 -0.340	 -0.205
       0:01.589	 -0.330	 -0.200
       0:01.592	 -0.345	 -0.230
       0:01.594	 -0.345	 -0.220
       0:01.597	 -0.355	 -0.215
       0:01.600	 -0.350	 -0.205
       0:01.603	 -0.340	 -0.200
       0:01.606	 -0.330	 -0.205
       0:01.608	 -0.340	 -0.220
       0:01.611	 -0.340	 -0.220
       0:01.614	 -0.340	 -0.225
       0:01.617	 -0.330	 -0.205
       0:01.619	 -0.335	 -0.200
       0:01.622	 -0.330	 -0.200
       0:01.625	 -0.335	 -0.210
       0:01.628	 -0.345	 -0.230
       0:01.631	 -0.345	 -0.215
       0:01.633	 -0.340	 -0.200
       0:01.636	 -0.330	 -0.200
       0:01.639	 -0.315	 -0.205
       0:01.642	 -0.295	 -0.210
       0:01.644	 -0.300	 -0.215
       0:01.647	 -0.295	 -0.220
       0:01.650	 -0.285	 -0.205
       0:01.653	 -0.275	 -0.200
       0:01.656	 -0.265	 -0.195
       0:01.658	 -0.265	 -0.205
       0:01.661	 -0.265	 -0.205
       0:01.664	 -0.255	 -0.205
       0:01.667	 -0.250	 -0.180
       0:01.669	 -0.240	 -0.170
       0:01.672	 -0.225	 -0.190
       0:01.675	 -0.215	 -0.190
       0:01.678	 -0.240	 -0.200
       0:01.681	 -0.245	 -0.185
       0:01.683	 -0.240	 -0.165
       0:01.686	 -0.245	 -0.145
       0:01.689	 -0.235	 -0.145
       0:01.692	 -0.245	 -0.170
       0:01.694	 -0.250	 -0.175
       0:01.697	 -0.275	 -0.170
       0:01.700	 -0.275	 -0.165
       0:01.703	 -0.265	 -0.150
       0:01.706	 -0.250	 -0.160
       0:01.708	 -0.225	 -0.175
       0:01.711	 -0.220	 -0.190
       0:01.714	 -0.230	 -0.190
       0:01.717	 -0.265	 -0.185
       0:01.719	 -0.270	 -0.185
       0:01.722	 -0.280	 -0.175
       0:01.725	 -0.285	 -0.195
       0:01.728	 -0.305	 -0.215
       0:01.731	 -0.320	 -0.205
       0:01.733	 -0.340	 -0.200
       0:01.736	 -0.330	 -0.195
       0:01.739	 -0.335	 -0.205
       0:01.742	 -0.335	 -0.210
       0:01.744	 -0.355	 -0.220
       0:01.747	 -0.370	 -0.215
       0:01.750	 -0.360	 -0.210
       0:01.753	 -0.345	 -0.205
       0:01.756	 -0.350	 -0.200
       0:01.758	 -0.355	 -0.210
       0:01.761	 -0.365	 -0.220
       0:01.764	 -0.375	 -0.220
       0:01.767	 -0.380	 -0.220
       0:01.769	 -0.370	 -0.200
       0:01.772	 -0.365	 -0.205
       0:01.775	 -0.365	 -0.215
       0:01.778	 -0.380	 -0.225
       0:01.781	 -0.385	 -0.220
       0:01.783	 -0.380	 -0.215
       0:01.786	 -0.375	 -0.205
       0:01.789	 -0.355	 -0.220
       0:01.792	 -0.370	 -0.225
       0:01.794	 -0.390	 -0.240
       0:01.797	 -0.405	 -0.260
       0:01.800	 -0.410	 -0.280
       0:01.803	 -0.435	 -0.300
       0:01.806	 -0.465	 -0.345
       0:01.808	 -0.490	 -0.375
       0:01.811	 -0.520	 -0.345
       0:01.814	 -0.555	 -0.260
       0:01.817	 -0.570	 -0.125
       0:01.819	 -0.525	  0.025
       0:01.822	 -0.405	  0.145
       0:01.825	 -0.250	  0.260
       0:01.828	 -0.090	  0.375
       0:01.831	  0.120	  0.505
       0:01.833	  0.410	  0.635
       0:01.836	  0.690	  0.705
       0:01.839	  0.885	  0.610
       0:01.842	  0.960	  0.320
       0:01.844	  0.850	 -0.045
       0:01.847	  0.520	 -0.250
       0:01.850	  0.050	 -0.270
       0:01.853	 -0.320	 -0.240
       0:01.856	 -0.500	 -0.240
       0:01.858	 -0.505	 -0.250
       0:01.861	 -0.445	 -0.255
       0:01.864	 -0.415	 -0.245
       0:01.867	 -0.395	 -0.245
       0:01.869	 -0.390	 -0.245
       0:01.872	 -0.395	 -0.255
       0:01.875	 -0.390	 -0.260
       0:01.878	 -0.395	 -0.260
       0:01.881	 -0.405	 -0.270
       0:01.883	 -0.395	 -0.245
       0:01.886	 -0.405	 -0.245
       0:01.889	 -0.390	 -0.250
       0:01.892	 -0.395	 -0.265
       0:01.894	 -0.395	 -0.270
       0:01.897	 -0.410	 -0.270
       0:01.900	 -0.405	 -0.265
       0:01.903	 -0.400	 -0.260
       0:01.906	 -0.400	 -0.260
       0:01.908	 -0.415	 -0.270
       0:01.911	 -0.405	 -0.280
       0:01.914	 -0.420	 -0.280
       0:01.917	 -0.415	 -0.270
       0:01.919	 -0.405	 -0.255
       0:01.922	 -0.405	 -0.265
       0:01.925	 -0.420	 -0.280
       0:01.928	 -0.420	 -0.290
       0:01.931	 -0.435	 -0.275
       0:01.933	 -0.420	 -0.265
       0:01.936	 -0.410	 -0.255
       0:01.939	 -0.410	 -0.260
       0:01.942	 -0.405	 -0.260
       0:01.944	 -0.425	 -0.280
       0:01.947	 -0.430	 -0.280
       0:01.950	 -0.420	 -0.265
       0:01.953	 -0.415	 -0.260
       0:01.956	 -0.410	 -0.255
       0:01.958	 -0.410	 -0.260
       0:01.961	 -0.425	 -0.275
       0:01.964	 -0.420	 -0.270
       0:01.967	 -0.400	 -0.275
       0:01.969	 -0.395	 -0.265
       0:01.972	 -0.400	 -0.265
       0:01.975	 -0.400	 -0.270
       0:01.978	 -0.395	 -0.280
       0:01.981	 -0.415	 -0.285
       0:01.983	 -0.405	 -0.280
       0:01.986	 -0.390	 -0.255
       0:01.989	 -0.400	 -0.270
       0:01.992	 -0.400	 -0.280
       0:01.994	 -0.415	 -0.290
       0:01.997	 -0.425	 -0.290
       0:02.000	 -0.425	 -0.270
       0:02.003	 -0.415	 -0.270
       0:02.006	 -0.415	 -0.285
       0:02.008	 -0.410	 -0.300
       0:02.011	 -0.425	 -0.300
       0:02.014	 -0.425	 -0.300
       0:02.017	 -0.420	 -0.295
       0:02.019	 -0.415	 -0.275
       0:02.022	 -0.400	 -0.295
       0:02.025	 -0.400	 -0.300
       0:02.028	 -0.410	 -0.310
       0:02.031	 -0.425	 -0.310
       0:02.033	 -0.410	 -0.315
       0:02.036	 -0.405	 -0.310
       0:02.039	 -0.395	 -0.310
       0:02.042	 -0.400	 -0.335
